Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.4666565|21.716611;77;67.9662;94.9527;99.6035;722;635;550;509;447;417;387;349;339;333;313;281;261;242;190;180;157;117;117;187.876;178;14.5113;17.8044;15;7;3;4;2;2;468;0;3;0;0;1262;2579;0;0;0;1529;2315;0;0;0;1398;2446;0;0;0;1177;2667;0;2;0
47.4666565|21.716611;78;60.2123;88.2992;94.9714;816;701;634;583;549;510;467;445;374;366;303;296;267;245;201;134;131;116;103;190.787;196;10.8513;11.8344;17;9;3;2;1;1;925;0;99;0;0;2055;1690;60;0;0;2067;1717;44;0;0;1814;1986;0;0;0;1947;1897;0;2;0
47.4666565|21.716611;79;48.9251;79.1137;88.7276;1021;964;892;838;718;667;525;491;430;418;344;273;250;200;92;51;39;39;11;194.424;194;4.84137;4.8681;22;10;4;0;0;0;444;0;225;0;0;3331;288;112;0;0;3428;304;0;0;0;3002;842;0;0;0;3184;660;0;2;0
47.4666565|21.716611;80;45.7643;70.4178;83.5486;1017;964;870;851;814;766;690;656;613;519;474;445;358;334;308;254;122;105;98;201.362;201;6.95859;6.98262;28;14;4;0;0;0;0;0;0;0;0;3726;118;0;0;0;3783;61;0;0;0;3821;23;0;0;0;3844;0;0;2;0
47.4666565|21.716611;81;52.9139;75.679;87.807;1035;995;944;915;856;801;776;720;671;614;521;492;447;401;246;206;197;163;156;200.906;201;10.2278;10.2248;32;14;6;1;1;1;0;0;28;0;0;3288;528;14;0;0;3562;268;14;0;0;3455;375;31;0;0;3629;184;0;2;0
47.4666565|21.716611;82;79.4045;95.5744;105.217;1005;960;894;851;822;779;741;687;623;606;554;546;522;465;286;214;162;139;123;194.165;200;36.1235;36.0618;23;11;5;1;1;1;0;0;928;0;0;2227;689;891;0;0;2221;732;977;0;0;2088;779;1456;0;0;1960;428;0;2;0
47.4666565|21.716611;83;90.9847;103.811;111.531;1091;1058;988;944;875;786;735;640;592;481;399;380;361;337;213;209;187;182;181;196.302;200;35.037;34.1938;21;11;5;4;2;2;0;0;1371;0;0;1624;849;1278;0;0;1605;961;1630;0;0;1521;693;2130;0;0;1599;115;0;2;0
47.4666565|21.716611;84;44.2422;67.3005;83.5112;1034;978;901;857;791;740;671;625;579;494;455;432;339;301;282;253;192;155;85;204.898;207;8.30552;8.42842;24;12;5;0;0;0;0;0;0;0;0;3539;305;0;0;0;3768;76;0;0;0;3844;0;0;0;0;3844;0;0;2;0
47.4666565|21.716611;85;50.5848;74.2073;87.7773;1034;1023;1001;975;933;908;861;815;798;787;725;636;596;573;504;440;356;311;220;202.082;199;9.64559;10.3146;36;18;7;0;0;0;0;0;0;0;0;3280;564;0;0;0;3729;115;0;0;0;3832;12;0;0;0;3844;0;0;2;0
47.4666565|21.716611;86;42.7622;65.9753;82.782;1118;1038;989;950;913;866;752;713;614;588;486;389;312;291;230;69;69;39;37;205.355;206;5.55579;5.57146;26;16;7;0;0;0;0;0;0;0;0;3814;30;0;0;0;3841;3;0;0;0;3844;0;0;0;0;3844;0;0;2;0
47.4666565|21.716611;87;51.6909;74.3455;87.6212;1080;1048;992;934;864;768;730;694;626;596;565;509;493;438;356;297;285;214;173;202.271;203;7.62856;7.6276;23;11;5;0;0;0;60;0;0;0;0;3106;738;0;0;0;3438;406;0;0;0;3419;425;0;0;0;3645;199;0;2;0
47.4666565|21.716611;88;58.8059;86.4909;94.4943;972;932;845;728;643;516;384;315;246;220;174;105;92;80;45;45;33;33;6;193.759;193;4.83175;4.89095;7;4;2;0;0;0;438;0;2;0;0;1692;2150;0;0;0;1503;2341;0;0;0;683;3161;0;0;0;494;3350;0;2;0
47.4666565|21.716611;89;58.2804;85.1902;92.4693;1017;970;882;784;652;566;335;240;120;57;40;40;39;39;28;25;22;21;0;192.906;192;4.23241;4.32823;2;1;1;0;0;0;45;0;53;0;0;1814;1977;27;0;0;2456;1361;0;0;0;890;2954;0;0;0;294;3550;0;2;0
